3.745,9.507
7.320,5.987
1.560,1.560
0.581,8.662
6.011,7.081
0.206,9.699
8.324,2.123
1.818,1.834
3.042,5.248
4.319,2.912
6.119,1.395
2.921,3.664
4.561,7.852
1.997,5.142
5.924,0.465
6.075,1.705
0.651,9.489
9.656,8.084
3.046,0.977
6.842,4.402
1.220,4.952
0.344,9.093
2.588,6.625
3.117,5.201
5.467,1.849
9.696,7.751
9.395,8.948
5.979,9.219
0.885,1.960
0.452,3.253
3.887,2.713
8.287,3.568
2.809,5.427
1.409,8.022
0.746,9.869
7.722,1.987
0.055,8.155
7.069,7.290
7.713,0.740
3.585,1.159
8.631,6.233
3.309,0.636
3.110,3.252
7.296,6.376
8.872,4.722
1.196,7.132
7.608,5.613
7.710,4.938
5.227,4.275
0.254,1.079
0.314,6.364
3.144,5.086
9.076,2.493
4.104,7.556
2.288,0.770
2.898,1.612
9.297,8.081
6.334,8.715
8.037,1.866
8.926,5.393
8.074,8.961
3.180,1.101
2.279,4.271
8.180,8.607
0.070,5.107
4.174,2.221
1.199,3.376
9.429,3.232
5.188,7.030
3.636,9.718
9.624,2.518
4.972,3.009
2.848,0.369
6.096,5.027
0.515,2.786
9.083,2.396
1.449,4.895
9.857,2.421
6.721,7.616
2.376,7.282
3.678,6.323
6.335,5.358
0.903,8.353
3.208,1.865
0.408,5.909
6.776,0.166
5.121,2.265
6.452,1.744
6.909,3.867
9.367,1.375
3.411,1.135
9.247,8.773
2.579,6.600
8.172,5.552
5.297,2.419
0.931,8.972
9.004,6.331
3.390,3.492
7.260,8.971
8.871,7.799
