71.854,97.782
87.940,81.940
62.021,62.020
57.614,93.978
82.050,86.863
55.926,98.646
92.460,64.555
63.182,63.253
68.691,78.614
74.438,68.105
82.533,61.277
68.147,71.486
75.523,90.333
63.985,78.141
81.659,57.090
82.340,62.674
57.927,97.700
98.453,91.378
68.708,59.395
85.790,74.807
60.492,77.283
56.547,95.919
66.645,84.814
69.027,78.403
79.602,63.318
98.631,89.881
97.277,95.267
81.905,96.484
58.982,63.819
57.035,69.640
72.490,67.211
92.293,71.054
67.642,79.421
61.342,91.099
58.355,99.410
89.751,63.942
55.248,91.696
86.809,87.805
89.707,58.332
71.131,60.214
93.840,83.048
69.890,57.860
68.994,69.633
87.832,83.690
94.925,76.250
60.382,87.096
89.235,80.257
89.694,77.221
78.523,74.239
56.144,59.855
56.414,83.638
69.146,77.886
95.840,66.218
73.467,89.000
65.296,58.464
68.039,62.255
96.836,91.365
83.503,94.216
91.165,63.396
95.165,79.270
91.335,95.324
69.310,59.952
65.257,74.220
91.811,93.733
55.313,77.984
73.783,64.995
60.394,70.193
97.431,69.544
78.346,86.636
71.363,98.730
98.310,66.330
77.376,68.540
67.818,56.660
82.430,77.621
57.317,67.539
95.872,65.780
61.520,77.025
99.354,65.892
85.246,89.273
65.694,87.770
71.550,83.454
83.509,79.110
59.063,92.589
69.435,63.393
56.835,81.590
85.490,55.746
78.044,65.192
84.033,62.846
86.092,72.403
97.153,61.188
70.348,60.106
96.611,94.480
66.607,84.699
91.775,79.984
78.834,65.883
59.190,95.375
95.519,83.490
70.256,70.714
87.668,95.370
94.919,90.094
28.891,3.786
7.273,40.435
27.289,0.414
4.566,29.858
0.228,7.236
24.693,31.135
29.338,10.092
32.048,10.676
14.643,33.592
29.233,38.215
29.593,25.574
4.215,16.547
11.934,10.980
43.785,17.689
40.142,28.401
35.767,22.619
25.961,22.163
8.786,32.510
12.635,1.094
29.046,7.970
42.321,42.927
41.169,16.657
0.696,41.774
19.268,43.499
43.363,38.385
13.250,17.329
38.301,14.261
7.627,25.056
42.127,31.321
25.653,4.373
27.675,44.552
6.304,23.325
39.482,33.335
31.366,31.612
16.177,13.212
36.421,36.455
39.018,41.096
23.010,22.568
35.923,29.248
31.589,35.811
40.050,15.210
16.901,4.229
26.023,1.617
20.952,24.419
12.894,26.587
1.373,1.681
37.017,16.209
5.718,23.501
34.650,9.712
28.030,3.841
2.326,23.911
24.329,28.684
32.674,43.913
23.234,14.533
35.783,12.187
19.754,3.531
1.141,43.319
37.619,31.319
18.403,7.798
7.040,11.261
24.715,32.157
29.709,12.597
42.969,33.205
24.946,27.527
18.882,11.148
16.019,34.103
0.648,5.223
2.070,1.833
38.496,31.665
21.338,4.403
22.123,21.306
7.794,19.523
17.933,27.713
28.579,2.039
16.858,28.164
22.641,38.542
29.641,7.332
3.176,28.909
1.193,26.360
42.310,25.896
17.468,28.948
20.621,24.553
42.366,17.375
43.254,40.741
8.811,3.121
4.535,0.820
4.250,30.735
3.203,14.354
38.019,1.047
36.651,12.683
5.317,31.353
28.302,39.486
33.078,36.157
12.692,7.985
33.778,36.308
44.573,18.568
16.741,34.939
15.336,41.884
38.629,19.305
33.789,33.954
